,tot_pos,tot_neg,tot_neut,phys_pos,phys_neg,phys_neut,perc_pos,perc_neg,proc_neut,total_class,total,share_phys,share_perc
AIw420wlH std,-0.21473491457316793,-0.07595268084058668,0.3266674986250054,-0.10293927804341824,-0.08409576691742225,0.10712192840215966,0.0322209806083849,0.07751145671382079,-0.37806522925322783,-0.25331862843392206,,0.01982427313817285,-0.2629186478406557
AIw420wlH mean,-0.2268469445438215,-0.1678293643347117,0.23672127386083022,-0.07256495857407982,-0.12235933497636839,0.04636092520394035,-0.11796413986803943,-0.13982499807450324,-0.37802659835470154,-0.28593933152141593,,-0.022376873666170357,-0.3840043040393891
AIw420N max,-0.1398504595778766,-0.26245805826916024,0.13670109363105878,0.052648504810581025,0.04169280061149086,-0.29578307225850564,-0.29248862683495513,-0.22459149465277545,-0.15218262422634693,-0.30788542617276204,,-0.1776550190104188,-0.30281283718203506
AIw420N min,-0.17078957819042798,0.08050065220365435,0.01566383964706129,-0.20320575378644112,0.019074219306075293,-0.027509555709960606,-0.10918385491399545,-0.11298802241930807,0.025464993367846495,0.01942631288329411,,-0.07931740800856028,-0.05611111980258216
AIw420N median,-0.2058108803528198,-0.26541933670868795,0.2094303651461534,-0.028337764160196927,-0.08597078134264095,-0.26584997121752835,-0.2385849582039739,-0.3795298653078506,-0.17523162152938532,-0.3735909155183131,,-0.2154825032627158,-0.3391854380414555
AIw420N std,0.039322921156189856,-0.1796689709314408,0.04686572880192479,0.2572062122376648,0.08500163325966664,-0.09748716519353963,-0.06607116990907966,-0.07291365998045954,-0.2213198936117508,-0.15938759467217287,,0.036521151427295985,-0.22118266064518557
AIw420N mean,-0.1865071697154016,-0.2949406287085571,0.19812689341343634,0.04974866295029098,-0.07620433124313278,-0.26925823845732977,-0.23087892745281743,-0.35526524446513147,-0.21125966789763811,-0.35605474042295215,,-0.19032919846007676,-0.3578071448793158
AIw420T max,-0.19926207470122412,-0.29037766039814683,0.2321823093375485,0.025582631222672802,0.08517610430919526,-0.2903699078094875,-0.38736777080628554,-0.24425862405125714,-0.23000199855235465,-0.39974568024563445,,-0.17145401250167258,-0.40930528278391165
AIw420T min,-0.1548841271639709,-0.005217728100464182,0.03947371842113746,-0.14143695054514666,-0.003993856533859371,-0.10834481251084065,-0.06962237907798649,-0.20641563380234754,0.017164438697614165,-0.053036398396341375,,-0.12149932198598808,-0.07065976837304903
AIw420T median,-0.19842346637682473,-0.2742376420798098,0.20281962782685886,0.002311890347756886,-0.06164236160252049,-0.3242969331714242,-0.2512111603604989,-0.39371653169577525,-0.13066169477647505,-0.36760606901315274,,-0.2399859163944166,-0.31326174620634367
AIw420T std,-0.03185405715175624,-0.24103065101548624,0.12783736186525688,0.25086962411520686,0.08639175895104947,-0.21128303592256836,-0.21382511991343683,-0.2162172627769424,-0.24339537112598822,-0.32025111667186273,,-0.04409413012863852,-0.33899859024653717
AIw420T mean,-0.2001944754302979,-0.2911449739793338,0.208808417967076,0.05823946271854835,-0.05562418839987277,-0.32645788571697354,-0.27008461317277443,-0.38731240387261007,-0.16839308466249844,-0.37914055604470964,,-0.22202588311777996,-0.3491969017322356
AIw420M max,0.08916227415954112,-0.16401277328716238,-0.024511150510013475,-0.02555906867767227,-0.15627194187046167,-0.17751909539391286,-0.337518913055503,-0.40655859692412,0.10635029096882337,-0.22576796137640803,,-0.17129232930770766,-0.16692266097019573
AIw420M min,-0.21128006417170633,0.0702729026917215,0.045178311137186566,-0.14355837551565492,0.013801366583119909,-0.07873076524502734,-0.1939605880237049,-0.11750268799494962,0.04993193833181176,-0.027939355353544006,,-0.09708566888340489,-0.07393768033293695
AIw420M median,-0.17804163765087203,-0.23574769882125504,0.16034294302757052,0.0001874567445741685,-0.08329175759006614,-0.348524759871402,-0.24080527504101176,-0.3858249914998564,0.015412184729148893,-0.27413923052917105,,-0.2630090773496448,-0.1919829786015149
AIw420M std,0.18090433322537422,0.05759803677509626,-0.0628164476754542,0.19442845582270224,0.27883468288842195,0.022729028609014483,0.0582246845555809,0.0684649195900656,0.007594463380574727,-0.051883652318177355,,0.1493615905560195,0.04873749704063835
AIw420M mean,-0.21779347503458527,-0.2542720801722933,0.18539358505348574,-0.03735232706977703,-0.12158745078888672,-0.38482986733040725,-0.2894595134077253,-0.4149031917600197,0.022268540730592513,-0.2994625247210696,,-0.310014359882911,-0.21487943059815698
